studyno,version,doi,c_sample,country,c_alphan,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,V16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,SEX,BIRTH,AGE,DK_AGE,EDUCYRS,AT_DEGR,AU_DEGR,BE_DEGR,CH_DEGR,CL_DEGR,CN_DEGR,CZ_DEGR,DE_DEGR,DK_DEGR,EE_DEGR,ES_DEGR,FI_DEGR,FR_DEGR,GB_DEGR,GE_DEGR,HR_DEGR,HU_DEGR,IL_DEGR,IN_DEGR,IS_DEGR,JP_DEGR,LT_DEGR,LV_DEGR,MX_DEGR,NO_DEGR,NZ_DEGR,PH_DEGR,PL_DEGR,RU_DEGR,SE_DEGR,SI_DEGR,SK_DEGR,SR_DEGR,TW_DEGR,US_DEGR,VE_DEGR,ZA_DEGR,DEGREE,WORK,WRKHRS,EMPREL,NEMPLOY,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO08,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO08,SPMAINST,UNION,AT_RELIG,AU_RELIG,BE_RELIG,CH_RELIG,CL_RELIG,CN_RELIG,CZ_RELIG,DE_RELIG,DK_RELIG,EE_RELIG,ES_RELIG,FI_RELIG,FR_RELIG,GB_RELIG,GE_RELIG,HR_RELIG,HU_RELIG,IL_RELIG,IN_RELIG,IS_RELIG,JP_RELIG,LT_RELIG,LV_RELIG,MX_RELIG,NO_RELIG,NZ_RELIG,PH_RELIG,PL_RELIG,RU_RELIG,SE_RELIG,SI_RELIG,SK_RELIG,SR_RELIG,TW_RELIG,US_RELIG,VE_RELIG,ZA_RELIG,RELIGGRP,ATTEND,TOPBOT,VOTE_LE,AT_PRTY,AU_PRTY,BE_PRTY,CH_PRTY,CL_PRTY,CN_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,EE_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,GE_PRTY,HR_PRTY,HU_PRTY,IL_PRTY,IN_PRTY,IS_PRTY,JP_PRTY,LT_PRTY,LV_PRTY,MX_PRTY,NO_PRTY,NZ_PRTY,PH_PRTY,PL_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,SR_PRTY,TW_PRTY,US_PRTY,VE_PRTY,ZA_PRTY,PARTY_LR,AT_ETHN1,AT_ETHN2,AU_ETHN1,AU_ETHN2,BE_ETHN1,BE_ETHN2,CH_ETHN1,CH_ETHN2,CL_ETHN1,CL_ETHN2,CN_ETHN1,CN_ETHN2,CZ_ETHN1,CZ_ETHN2,DE_ETHN1,DE_ETHN2,DK_ETHN1,DK_ETHN2,EE_ETHN1,EE_ETHN2,ES_ETHN1,ES_ETHN2,FI_ETHN1,FI_ETHN2,FR_ETHN1,FR_ETHN2,GB_ETHN1,GB_ETHN2,GE_ETHN1,GE_ETHN2,HR_ETHN1,HR_ETHN2,HU_ETHN1,HU_ETHN2,IL_ETHN1,IL_ETHN2,IN_ETHN1,IN_ETHN2,IS_ETHN1,IS_ETHN2,JP_ETHN1,JP_ETHN2,LT_ETHN1,LT_ETHN2,LV_ETHN1,LV_ETHN2,MX_ETHN1,MX_ETHN2,NO_ETHN1,NO_ETHN2,NZ_ETHN1,NZ_ETHN2,PH_ETHN1,PH_ETHN2,PL_ETHN1,PL_ETHN2,RU_ETHN1,RU_ETHN2,SE_ETHN1,SE_ETHN2,SI_ETHN1,SI_ETHN2,SK_ETHN1,SK_ETHN2,SR_ETHN1,SR_ETHN2,TW_ETHN1,TW_ETHN2,US_ETHN1,US_ETHN2,VE_ETHN1,VE_ETHN2,ZA_ETHN1,ZA_ETHN2,HOMPOP,HHCHILDR,HHTODD,AT_RINC,AU_RINC,BE_RINC,CH_RINC,CL_RINC,CN_RINC,CZ_RINC,DE_RINC,DK_RINC,EE_RINC,ES_RINC,FI_RINC,FR_RINC,GB_RINC,GE_RINC,HR_RINC,HU_RINC,IL_RINC,IN_RINC,IS_RINC,JP_RINC,LT_RINC,LV_RINC,MX_RINC,NO_RINC,NZ_RINC,PH_RINC,PL_RINC,RU_RINC,SE_RINC,SI_RINC,SK_RINC,SR_RINC,TW_RINC,US_RINC,VE_RINC,ZA_RINC,AT_INC,AU_INC,BE_INC,CH_INC,CL_INC,CN_INC,CZ_INC,DE_INC,DK_INC,EE_INC,ES_INC,FI_INC,FR_INC,GB_INC,GE_INC,HR_INC,HU_INC,IL_INC,IN_INC,IS_INC,JP_INC,LT_INC,LV_INC,MX_INC,NO_INC,NZ_INC,PH_INC,PL_INC,RU_INC,SE_INC,SI_INC,SK_INC,SR_INC,TW_INC,US_INC,VE_INC,ZA_INC,MARITAL,F_BORN,M_BORN,URBRURAL,AT_REG,AU_REG,BE_REG,CH_REG,CL_REG,CN_REG,CZ_REG,DE_REG,DK_REG,EE_REG,ES_REG,FI_REG,FR_REG,GB_REG,GE_REG,HR_REG,HU_REG,IL_REG,IN_REG,IS_REG,JP_REG,LT_REG,LV_REG,MX_REG,NO_REG,NZ_REG,PH_REG,PL_REG,RU_REG,SE_REG,SI_REG,SK_REG,SR_REG,TW_REG,US_REG,VE_REG,ZA_REG,CASEID,SUBSCASE,DATEYR,DATEMO,DATEDY,WEIGHT,MODE
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,2,4,1,1,3,2,1,2,2,4,2,3,3,2,0,2,2,3,1,1,2,2,3,3,2,2,1,1,1,4,3,5,1,1,1,2,2,5,5,3,2,1,1,2,3,1,2,5,2,3,4,4,2,2,2,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,1,1,1,1,0,0,0,2,3,3,1,1962,54,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,38,1,0,2,0,0,1,5220,1,1,3,0,0,0,0,7,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,3,7,1,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1750,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,3750,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,1,40,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001199.0,0,2016,6,0,0.89149,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,4,3,1,1,3,1,1,4,2,2,3,4,4,2,0,2,2,4,1,1,2,2,3,3,1,1,2,1,2,2,3,1,1,3,1,1,1,3,3,4,1,8,8,3,2,1,5,5,1,4,4,3,1,2,1,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,1,1,1,1,0,0,0,3,3,4,1,1965,51,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,2,0,2,0,0,2,1310,1,1,1,50,0,0,1310,1,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,4,8,1,99,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,999999,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999999,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,1,40,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001200.0,0,2016,6,0,0.89149,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,4,2,2,2,2,1,1,1,1,1,1,3,8,2,0,2,2,4,1,1,2,2,4,3,1,1,1,1,1,5,4,1,3,3,8,1,1,4,3,4,1,8,8,2,2,1,5,5,1,2,4,4,2,2,2,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,0,0,3,3,3,2,1989,27,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,30,2,0,2,0,0,2,5140,1,9,1,39,0,0,2430,1,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,5,6,2,0,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,999999,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999999,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001201.0,0,2016,6,0,0.93858,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,4,2,1,3,2,3,3,2,2,3,3,8,8,0,0,0,8,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9999,99,9,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,9,12,2,0,0,0,0,0,0,0,0,3,3,1,2,2000,16,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,7,99,0,0,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,0,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001202.0,0,2016,6,0,1.01095,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,2,1,1,1,1,1,1,1,1,1,1,8,8,2,0,2,1,4,1,1,2,1,1,1,1,1,1,1,1,3,4,5,4,1,2,8,3,4,4,2,2,3,1,1,3,2,2,3,3,4,3,4,1,1,2,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,4,2,1,1,1991,25,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,40,1,0,2,0,0,2,7540,1,9,3,0,0,0,0,9,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,7,4,2,0,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,999999,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999999,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001203.0,0,2016,6,0,1.33934,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,4,2,2,2,2,1,2,1,1,3,1,3,4,2,0,2,2,4,2,1,2,1,1,2,1,1,1,1,1,5,4,5,5,1,1,3,3,4,5,4,1,1,1,1,3,1,1,5,1,3,4,4,2,3,2,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,1,1,1,0,0,0,2,4,2,2,1968,48,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,25,1,0,2,0,0,1,4410,1,1,1,98,0,0,2150,1,2,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,1,7,1,3,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2750,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999999,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,1,40,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001204.0,0,2016,6,0,0.96934,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,5,3,1,3,3,1,2,2,2,3,3,3,3,2,0,2,1,4,1,1,2,2,3,4,2,2,2,1,3,2,2,5,4,1,1,3,3,3,4,3,1,2,2,3,3,2,3,4,2,4,3,3,2,3,2,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,2,3,1,1,1,0,0,0,8,2,3,1,1983,33,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,38,1,0,2,0,0,2,7410,1,3,0,0,0,0,0,0,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,7,6,2,0,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1750,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1350,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,40,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001205.0,0,2016,6,0,0.78642,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,4,2,3,3,3,2,3,2,2,3,2,3,3,2,0,2,2,3,2,1,1,4,4,4,3,3,3,3,2,5,3,5,3,1,1,3,3,4,4,1,2,2,2,3,2,3,4,2,4,2,2,2,2,3,2,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,1,1,1,1,0,0,0,2,3,2,1,1984,32,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,1,0,2,0,0,2,2630,1,3,0,0,0,0,0,0,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,7,8,1,5,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,375,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,300,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,895,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001206.0,0,2016,6,0,0.84706,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,5,2,2,2,2,2,2,2,2,2,2,3,3,2,0,2,2,3,1,1,2,2,3,3,2,2,2,1,2,5,3,5,5,1,1,2,2,5,5,3,1,2,2,3,2,2,8,4,2,4,3,2,2,2,2,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,1,1,1,1,0,0,0,3,2,2,1,1977,39,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,40,1,0,2,0,0,2,4220,1,3,0,0,0,0,0,0,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,5,8,1,3,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2350,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1650,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,895,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001207.0,0,2016,6,0,0.84706,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,3,3,2,2,2,2,2,2,1,4,3,2,2,0,0,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2006,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,97,2,0,0,0,0,0,0,0,0,4,2,4,2,1949,67,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,2,7530,6,3,0,0,0,0,0,0,2,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,4,7,1,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1150,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1050,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,5,895,895,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001208.0,0,2016,6,0,0.81813,20
6770,2.1.0 (2017-08-30),doi:10.4232/1.12848,40,40,AT,2,5,1,3,2,4,2,1,3,3,2,2,2,2,0,2,1,5,1,1,2,1,1,1,1,1,2,2,1,5,1,4,2,1,1,3,2,3,3,2,1,2,2,2,2,1,4,2,2,2,2,2,3,2,4,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,5,5,3,5,5,0,0,0,4,1,1,2,1976,40,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,40,1,0,2,0,0,2,2340,1,2,1,40,0,0,5140,1,3,1,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,5,7,1,6,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3250,999990,999990,999990,9999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,2400,9999990,999990,999990,9999990,9999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,99999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,6,40,40,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015000400001209.0,0,2016,6,0,1.04408,20
